restaurant_id,restaurant_name,category,city,rating
1,Restaurant_1,Fast Food,Mumbai,4.4
2,Restaurant_2,Cafe,Hyderabad,2.7
3,Restaurant_3,Fast Food,Hyderabad,4.8
4,Restaurant_4,Fast Food,Jaipur,
5,Restaurant_5,North Indian,Kolkata,4.6
6,Restaurant_6,South Indian,Pune,3.7
7,Restaurant_7,Cafe,Pune,2.6
8,Restaurant_8,Bakery,Bengaluru,4.1
9,Restaurant_9,Bakery,Mumbai,3.4
10,Restaurant_10,Cafe,Chennai,4.9
11,Restaurant_11,Biryani,Mumbai,
12,Restaurant_12,South Indian,Pune,2.9
13,Restaurant_13,Bakery,Jaipur,4.5
14,Restaurant_14,North Indian,Jaipur,4.0
15,Restaurant_15,North Indian,Pune,3.1
16,Restaurant_16,Bakery,Kolkata,4.4
17,Restaurant_17,Fast Food,Delhi,2.9
18,Restaurant_18,Biryani,Mumbai,3.4
19,Restaurant_19,Biryani,Ahmedabad,3.6
20,Restaurant_20,North Indian,Delhi,
21,Restaurant_21,Bakery,Bengaluru,3.4
22,Restaurant_22,North Indian,Kolkata,4.6
23,Restaurant_23,Cafe,Pune,4.9
24,Restaurant_24,Fast Food,Chennai,3.5
25,Restaurant_25,Cafe,Delhi,3.2
26,Restaurant_26,Biryani,Mumbai,
27,Restaurant_27,Fast Food,Hyderabad,4.6
28,Restaurant_28,Biryani,Hyderabad,2.9
29,Restaurant_29,Fast Food,Mumbai,2.8
30,Restaurant_30,FAST FOOD,Bengaluru,3.9
31,Restaurant_31,Biryani,Hyderabad,
32,Restaurant_32,North Indian,Jaipur,3.0
33,Restaurant_33,Biryani,Kolkata,3.8
34,Restaurant_34,Chinese,Kolkata,2.8
35,Restaurant_35,Chinese,Delhi,2.9
36,Restaurant_36,North Indian,Mumbai,2.7
37,Restaurant_37,CAFE,Jaipur,4.2
38,Restaurant_38,Fast Food,Ahmedabad,2.8
39,Restaurant_39,Biryani,Delhi,4.6
40,Restaurant_40,Cafe,Ahmedabad,4.0
41,Restaurant_41,North Indian,Delhi,3.5
42,Restaurant_42,NORTH INDIAN,Jaipur,4.1
43,Restaurant_43,Chinese,Jaipur,3.0
44,Restaurant_44,Fast Food,Kolkata,2.7
45,Restaurant_45,Bakery,Bengaluru,3.5
46,Restaurant_46,Biryani,Hyderabad,4.4
47,Restaurant_47,CHINESE,Ahmedabad,4.6
48,Restaurant_48,North Indian,Chennai,
49,Restaurant_49,Chinese,Hyderabad,4.3
50,Restaurant_50,Chinese,Ahmedabad,3.5
51,Restaurant_51,Fast Food,Bengaluru,4.9
52,Restaurant_52,Cafe,Bengaluru,4.6
53,Restaurant_53,Chinese,Mumbai,3.2
54,Restaurant_54,Fast Food,Ahmedabad,3.4
55,Restaurant_55,South Indian,Mumbai,3.5
56,Restaurant_56,Biryani,Delhi,
57,Restaurant_57,Fast Food,Kolkata,4.2
58,Restaurant_58,Fast Food,Chennai,3.6
59,Restaurant_59,FAST FOOD,Chennai,3.0
60,Restaurant_60,Bakery,Delhi,2.9
61,Restaurant_61,Biryani,Ahmedabad,3.9
62,Restaurant_62,Cafe,Bengaluru,3.0
63,Restaurant_63,Biryani,Ahmedabad,
64,Restaurant_64,South Indian,Hyderabad,4.5
65,Restaurant_65,Chinese,Mumbai,3.6
66,Restaurant_66,Chinese,Bengaluru,4.0
67,Restaurant_67,Cafe,Kolkata,4.5
68,Restaurant_68,Bakery,Kolkata,4.8
69,Restaurant_69,South Indian,Mumbai,3.4
70,Restaurant_70,Chinese,Pune,
71,Restaurant_71,Chinese,Bengaluru,3.3
72,Restaurant_72,South Indian,Kolkata,
73,Restaurant_73,Chinese,Kolkata,3.1
74,Restaurant_74,Cafe,Ahmedabad,4.6
75,Restaurant_75,Biryani,Ahmedabad,2.9
76,Restaurant_76,Chinese,Jaipur,3.0
77,Restaurant_77,Fast Food,Bengaluru,2.6
78,Restaurant_78,South Indian,Hyderabad,3.7
79,Restaurant_79,Cafe,Delhi,2.6
80,Restaurant_80,Bakery,Bengaluru,4.2
81,Restaurant_81,NORTH INDIAN,Mumbai,2.9
82,Restaurant_82,Cafe,Jaipur,4.3
83,Restaurant_83,Chinese,Bengaluru,4.8
84,Restaurant_84,SOUTH INDIAN,Delhi,4.2
85,Restaurant_85,Cafe,Hyderabad,4.1
86,Restaurant_86,Bakery,Bengaluru,3.3
87,Restaurant_87,Chinese,Jaipur,
88,Restaurant_88,Cafe,Kolkata,2.6
89,Restaurant_89,CHINESE,Delhi,4.7
90,Restaurant_90,South Indian,Kolkata,4.8
91,Restaurant_91,Fast Food,Bengaluru,3.0
92,Restaurant_92,Chinese,Ahmedabad,
93,Restaurant_93,SOUTH INDIAN,Chennai,2.9
94,Restaurant_94,Cafe,Bengaluru,3.6
95,Restaurant_95,Bakery,Delhi,3.5
